"bed_code","room_class_code","room_code"
"18baaab3-b093-4b6b-828c-21d7f65bfad1","c7acd6dd-45d6-4672-b866-74fbbba1074b","6fc2fbfc-ddea-4352-b062-b4beb784bcd2"
"1a291701-aaa6-4398-815d-1688bce04cdd","c7acd6dd-45d6-4672-b866-74fbbba1074b","3fc4703f-6582-4854-a545-6c9c9f50acd3"
"1aeafcc4-c7f8-45fd-882f-ad29f6cb96e5","c7acd6dd-45d6-4672-b866-74fbbba1074b","6fc2fbfc-ddea-4352-b062-b4beb784bcd2"
"1bcf2a57-f48b-46a6-a495-f3fea9370ed7","23344a02-6459-442a-b6c7-5f0019ae2964","a6e51817-e292-4bcf-b9c7-64698922f80e"
"1c2d401e-33e4-4e71-b33a-1bdcfbb59075","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","4f6ed5e2-186b-41eb-865d-c1b544b07089"
"1e042393-00b5-4d86-8c5c-ad700e7dd3fb","c7acd6dd-45d6-4672-b866-74fbbba1074b","6fc2fbfc-ddea-4352-b062-b4beb784bcd2"
"1f7c28e4-880e-4736-b37a-cf4a6871ecb4","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","0dd37efc-cbbe-45c4-8174-afc5eaa287da"
"21084bc3-53cc-475a-91cd-0b84d55abf36","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","74b7e7f3-bb34-4894-bdde-d07a2a628ee3"
"22e76048-4e68-400d-b304-0b37c5095cd0","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","007b66ea-b700-4fa0-b254-e166e818e653"
"236aa9de-9221-46b8-bb72-de624635f8fd","c7acd6dd-45d6-4672-b866-74fbbba1074b","6fc2fbfc-ddea-4352-b062-b4beb784bcd2"
"2428bc32-232f-4d30-96cb-cabcc343e194","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","374585ef-eba8-406b-a636-42b28b958e77"
"255c5233-f009-4a3b-83e7-353c56c00627","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","420b3bcc-38ed-4cd1-9c6c-1f70744a84a3"
"25fb2315-8c29-42b7-afbb-c880f1f43baa","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","d2ec7b07-3132-4d5a-8569-175ea2a82ba7"
"2691b855-2f40-48dd-ae21-f894b9ecf0d6","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","caec8e28-378e-41eb-9df0-1745c44aa194"
"27197ef2-9b69-4b18-a58e-1f0bea6c10e3","c7acd6dd-45d6-4672-b866-74fbbba1074b","fc6e418b-c1d7-4312-ad77-200d39bc4c8b"
"27d4330e-0e1e-448c-8f1c-74d2e04498ac","23344a02-6459-442a-b6c7-5f0019ae2964","bbf70e81-9c97-4587-b913-2dfe8198bd2c"
"283c6349-fc83-4d45-9276-1eaf158f3204","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","4f6ed5e2-186b-41eb-865d-c1b544b07089"
"2b5af31e-8241-4aea-b4c8-1dae4df7fd3c","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","b0220967-272d-4642-b37a-207ed0c8b4f1"
"2dd583e1-dd1b-4323-9bdf-4e2a2b3e9455","23344a02-6459-442a-b6c7-5f0019ae2964","6efaa864-c3f9-4c28-b652-6fc76d59b64b"
"2e405aaa-e834-4885-881e-a1ea01bfbdf8","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","420b3bcc-38ed-4cd1-9c6c-1f70744a84a3"
"2fe82cd9-ce90-4ddc-abef-5526bf86f4c7","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","d2ec7b07-3132-4d5a-8569-175ea2a82ba7"
"30377abc-1a57-4be8-875b-2bb9ab9dda85","c7acd6dd-45d6-4672-b866-74fbbba1074b","6fc2fbfc-ddea-4352-b062-b4beb784bcd2"
"30f66be8-e5ff-4619-8d12-c60a102300ba","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","d2ec7b07-3132-4d5a-8569-175ea2a82ba7"
"31354559-0413-4f8b-bfc8-2a6f9fe68e06","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","374585ef-eba8-406b-a636-42b28b958e77"
"31751326-a6d5-4e7c-91cf-7e7dd826efc9","c7acd6dd-45d6-4672-b866-74fbbba1074b","f8d606b3-fde0-49cb-be57-9c9c7483aef0"
"31d83a94-4c66-4b4d-9f8c-00f2173386cc","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","374585ef-eba8-406b-a636-42b28b958e77"
"3529e2ab-7e88-4bf3-a51b-c50a02ea409a","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","d2ec7b07-3132-4d5a-8569-175ea2a82ba7"
"353b2328-4b1b-4a8b-b96d-951739fb86c4","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","007b66ea-b700-4fa0-b254-e166e818e653"
"3640353c-70d9-41ec-8a46-079f90ab8afd","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","7b421cb7-a816-453f-8a6a-574f43d13b5b"
"3670d6d4-e11b-4065-8e08-a71dbc33d023","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","a9bb9930-37be-4678-afa0-eb8701941dce"
